amount,sender_balance,receiver_balance,transaction_speed,sender_country,receiver_country,sender_id,receiver_id,transaction_frequency,is_cross_border,high_risk_sender,high_risk_receiver,time_since_last_tx,is_fraud,amount_to_balance_ratio
879359,1589355,939961,1,AU,CN,CN00798,JP00782,7,1,0,0,4664,1,0.5532804187862372
38985,1503496,1734827,2,CN,US,US00669,US00486,12,1,0,0,73932,0,0.025929566822924705
465920,199575,1678565,1,SG,SG,SG00416,AU00301,2,0,0,0,36468,1,2.3345609420017537
619338,1168607,173894,3,US,US,CN00695,AU00510,10,0,0,0,21931,0,0.5299797108865513
777665,559677,1312092,0,JP,SG,SG00530,US00168,8,1,0,0,48863,0,1.3894889373692325
18443,616629,1116096,2,SG,SG,AE00016,CN00381,3,0,0,0,22236,0,0.029909394465716013
512130,615226,1753367,2,CN,AU,JP00475,FR00170,1,1,1,0,57011,0,0.8324258077519481
956681,1256476,776894,3,IN,AU,AE00958,DE00192,11,1,0,0,43674,1,0.7614001381641989
41811,1263564,497744,0,JP,IN,DE00655,GB00350,2,1,0,0,27857,0,0.033089736649667134
713436,164448,1615123,3,AE,GB,SG00069,DE00388,8,1,0,0,78403,0,4.338368359603035
286710,719044,1015512,1,AU,IN,US00752,SG00215,14,1,0,0,53084,1,0.39873776848148373
327599,1030232,325365,3,CN,CN,AE00477,JP00767,18,0,0,0,68385,0,0.31798565759945335
241211,1590186,637896,0,CN,FR,DE00718,AU00946,1,1,0,0,44830,0,0.15168728689599834
374428,459712,377167,0,AU,JP,AU00805,GB00590,6,1,0,0,46324,0,0.8144838507587359
824702,304152,1885044,2,IN,DE,AU00807,GB00213,13,1,0,0,45841,0,2.7114797864225784
336424,312738,898104,1,CA,US,SG00273,US00652,3,1,1,0,37780,1,1.075737518306058
226072,82692,1503097,0,DE,US,AU00045,IN00774,17,1,0,0,44136,0,2.733904126154888
706125,373181,308357,2,CA,CN,CA00483,GB00084,18,1,0,0,69699,0,1.892178326334942
847150,1675594,1816290,1,IN,AU,CA00540,SG00801,12,1,0,0,7457,0,0.5055819011049216
510767,170250,1059264,0,US,FR,US00973,IN00415,13,1,0,0,56869,0,3.000099853157122
977371,336505,779970,3,AE,US,AE00325,CN00134,2,1,0,0,66918,0,2.9044769022748547
524943,359269,1869296,1,FR,AE,CA00918,AU00265,5,1,0,0,56114,0,1.4611419298631387
855197,1324865,1041304,1,IN,IN,AU00804,DE00465,18,0,0,0,42487,1,0.6454974657795323
288783,1554914,831005,3,GB,CN,AE00292,DE00995,7,1,0,0,62775,0,0.18572281167961702
617167,403870,1602853,3,JP,AU,CN00556,US00239,15,1,0,0,64553,1,1.5281328150147324
449864,795962,551215,0,SG,FR,US00745,SG00027,4,1,0,0,84929,0,0.5651827599810041
965927,1577579,23080,2,FR,CN,FR00825,AU00003,11,1,0,0,26731,0,0.612284392730887
489866,1523803,661467,2,AE,JP,CA00836,IN00627,16,1,0,0,25852,0,0.32147593881886305
690673,1662139,474110,0,CA,FR,SG00402,FR00447,7,1,0,1,78265,0,0.4155326359588458
31619,1705143,70111,2,JP,AU,SG00525,GB00152,7,1,0,0,73371,0,0.01854331278960181
144011,1742357,1654747,1,IN,US,AE00418,AU00667,11,1,0,0,35358,0,0.08265298099069249
421363,1696733,1116116,0,CN,IN,GB00592,FR00285,19,1,1,0,17603,0,0.24833783512196675
347209,344085,1020228,2,GB,GB,CN00952,AE00530,11,0,0,0,51774,1,1.0090791519537323
323126,536837,1302617,2,GB,AE,CA00357,CN00019,3,1,0,0,13063,1,0.601907096567487
983688,996304,1917697,2,US,FR,AE00158,AU00216,9,1,0,0,83266,1,0.9873371982848609
891428,1299428,1318787,3,JP,US,CN00782,FR00328,17,1,0,0,52360,0,0.6860156930587921
514947,516102,585071,3,GB,CA,CN00337,JP00296,3,1,0,0,13116,0,0.9977620702884313
184759,1520269,67248,0,US,GB,CA00843,FR00244,8,1,0,0,80422,0,0.12153046598990047
789507,1997018,202854,0,AU,SG,SG00519,GB00059,19,1,0,0,52620,0,0.3953429563479147
167264,920735,329331,3,CN,SG,FR00172,GB00754,17,1,0,0,85728,1,0.18166356226275748
788225,142967,452698,1,IN,CA,DE00786,JP00240,12,1,0,0,54140,0,5.513335245196444
16599,302863,168709,0,JP,GB,SG00859,CA00922,14,1,0,0,12945,0,0.054806958922020844
261232,335594,25368,0,US,US,DE00860,DE00162,16,0,0,1,9909,0,0.7784167774155676
566644,324584,1867003,3,IN,CA,US00261,CA00372,14,1,0,0,82910,1,1.7457545658442806
920302,19630,755533,0,SG,SG,JP00387,IN00304,10,0,0,0,41784,0,46.882424859908305
250035,559936,666127,3,GB,AU,SG00453,SG00664,16,1,0,0,27370,0,0.44654210481197854
592452,572012,1424689,1,SG,SG,GB00154,AE00693,4,0,0,0,3655,1,1.0357335160800822
116169,552487,1938293,3,CN,GB,JP00137,FR00930,14,1,0,1,67712,1,0.21026558090959607
944887,1341314,1635732,2,CA,FR,FR00863,CN00715,6,1,0,0,9768,1,0.7044487718759366
547679,293282,774461,1,CN,JP,FR00027,IN00050,10,1,0,0,22898,0,1.867414297502063
959825,1839748,1485028,2,AU,DE,CA00831,CA00685,1,1,0,0,8599,0,0.5217154740757973
47945,42279,160986,0,SG,SG,AE00588,US00539,19,0,0,0,31347,1,1.13401452257622
649685,1712388,876601,3,GB,CN,CA00559,IN00077,14,1,0,0,59530,0,0.3794029156943403
964,227524,1719898,3,GB,IN,CN00978,AU00263,6,1,0,1,60510,1,0.004236915666039626
845344,1344479,209843,0,FR,DE,US00877,FR00736,15,1,0,0,75488,1,0.6287521039748483
621695,313411,975394,0,AE,CA,GB00360,AU00167,14,1,0,0,4322,1,1.9836412889145563
155042,855152,1637760,3,CA,CA,GB00229,AE00538,12,0,0,0,17711,1,0.18130344079181246
952770,1190501,921479,0,DE,GB,JP00312,SG00087,15,1,0,0,69009,1,0.8003101215370672
405292,646641,36677,1,US,CN,CA00778,US00025,7,1,0,0,64565,0,0.6267650829440138
699331,181454,547381,3,US,AU,US00986,CN00984,10,1,0,0,40495,1,3.8540401424052377
